date,follower
2022-03-31,2025
2022-03-30,2023
2022-03-29,2025
2022-03-28,2022
2022-03-27,2023
2022-03-26,2022
2022-03-25,2015
2022-03-24,2009
2022-03-23,1991
2022-03-21,1949
2022-03-20,1936
2022-03-19,1913
2022-03-18,1881
2022-03-17,1857
2022-03-16,1833
2022-03-15,1794
2022-03-14,1768
2022-03-13,1740
2022-03-12,1712
2022-03-11,1697
2022-03-10,1681
2022-03-09,1657
2022-03-08,1630
2022-03-07,1590
2022-03-06,1552
2022-03-05,1464
2022-03-04,1379
2022-03-03,1265
2022-03-02,1158
2022-03-01,994
2022-02-28,639
2022-02-27,366
