date,voteup,follower
2020-08-17,12759,11526
2020-08-16,12749,11505
2020-08-13,12699,11468
2020-08-12,12677,11454
2020-08-11,12663,11449
2020-08-10,12648,11434
2020-08-09,12642,11428
2020-08-08,12634,11422
2020-08-07,12629,11417
2020-08-06,12627,11403
2020-08-05,12624,11400
2020-08-04,12614,11378
2020-08-02,12598,11359
2020-08-01,12597,11351
2020-07-31,12590,11342
2020-07-29,12554,11279
2020-07-28,12538,11223
2020-07-27,12525,11129
2020-07-26,12516,11074
2020-07-25,12508,11052
2020-07-24,12502,11012
2020-07-23,12501,10908
2020-07-22,12488,10862
2020-07-21,12484,10827
2020-07-20,12469,10780
2020-07-19,12458,10764
2020-07-18,12453,10733
2020-07-17,12442,10666
2020-07-16,12426,10627
2020-07-16,12426,10627
2020-07-15,12417,10574
2020-07-15,12417,10574
2020-07-14,12405,10533
2020-07-14,12405,10533
2020-07-13,12395,10502
2020-07-12,12389,10467
2020-07-11,12380,10445
2020-07-10,12362,10421
2020-07-09,12332,10377
2020-07-08,12313,10360
2020-07-07,12281,10329
2020-07-06,12255,10289
2020-07-05,12260,10186
2020-07-04,12230,10186
2020-07-03,12210,10186
2020-07-02,12194,10151
2020-07-01,12181,10135
2020-06-30,12160,10100
2020-06-29,12145,10063
2020-06-28,12126,10031
2020-06-27,12101,9982
2020-06-26,12016,9950
2020-06-25,12016,9900
2020-06-24,12016,9841
2020-06-23,11925,9785
2020-06-22,11895,9760
2020-06-21,11878,9719
2020-06-20,11866,9697
2020-06-19,11844,9666
2020-06-18,11823,9642
2020-06-17,11811,9626
2020-06-16,11774,9572
2020-06-15,11745,9546
2020-06-14,11733,9533
2020-06-13,11671,9500
2020-06-12,11661,9465
2020-06-11,11616,9422
2020-06-10,11566,9384
2020-06-09,11487,9349
2020-06-08,11328,9273
2020-06-07,11199,9226
2020-06-06,11167,9214
2020-06-05,11159,9196
2020-06-04,11148,9165
2020-06-03,11139,7605
2020-06-02,11129,7577
2020-06-01,11123,7537
2020-05-31,11056,7491
2020-05-30,10944,7465
2020-05-29,10844,7425
2020-05-28,10800,7399
2020-05-27,10744,7341
2020-05-26,10644,7281
2020-05-25,10602,7237
2020-05-24,10575,7202
2020-05-23,10558,7180
2020-05-22,10541,7140
2020-05-21,10521,7113
2020-05-20,10500,7084
2020-05-19,10476,7047
2020-05-18,10445,7015
2020-05-17,10426,6966
2020-05-16,10407,6928
2020-05-15,10390,6874
2020-05-14,10357,6810
2020-05-13,10333,6725
2020-05-12,10295,6636
2020-05-11,10259,6512
